InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-5       1387       1663        242          3
     R-2        L-3       1935       3414        394          2
     R-3        L-1        986       2232        336          2
     R-4        L-1       2063       2491        212          4
     R-5        L-4       1925       3184        210          3
     R-6        L-5        435        812        305          3
     R-7        L-5        904       1956        310          3
     R-8        L-4       1352       1887        360          2
     R-9        L-2       2178       2942        429          2
    R-10        L-2       2385       3815        365          5
    R-11        L-4        668       1111        242          1
    R-12        L-5       1328       2108        493          3
    R-13        L-5        646       1625        389          3
    R-14        L-3       2062       2766        481          2
    R-15        L-2        638       1908        261          3
    R-16        L-1       2434       3919        272          4
    R-17        L-1        885       1384        430          4
    R-18        L-2       1811       2354        211          1
    R-19        L-4       1110       2442        229          1
    R-20        L-4       1617       2597        208          2
    R-21        L-4        351       1130        238          5
    R-22        L-2       1005       2045        435          1
    R-23        L-2        623       1648        484          5
    R-24        L-1       2485       3325        322          4
    R-25        L-3        875       1991        206          4
    R-26        L-2        876       1429        411          5
    R-27        L-3       1409       2664        417          5
    R-28        L-1       2452       3261        226          1
    R-29        L-2        770       2021        370          2
    R-30        L-1        521       2002        372          2
    R-31        L-3       2497       3858        441          1
    R-32        L-2       1585       2026        393          4
    R-33        L-4       1033       1602        215          4
    R-34        L-4        535       1517        415          5
    R-35        L-5       2408       3073        484          5
    R-36        L-2       1419       1930        335          1
    R-37        L-4       2239       2668        393          5
    R-38        L-4       1886       2889        349          3
    R-39        L-2       1437       2475        340          4
    R-40        L-5        375       1767        414          3
    R-41        L-4       2406       2930        342          2
    R-42        L-3       1280       2583        274          1
    R-43        L-5       2095       2924        261          4
    R-44        L-1        231        979        218          2
    R-45        L-1       2123       3177        221          3
    R-46        L-5       1020       1705        385          1
    R-47        L-5        938       2208        460          3
    R-48        L-2       1400       2879        240          1
    R-49        L-2        692       1024        293          5
    R-50        L-3        769       2079        350          5
    R-51        L-5        394       1850        222          1
    R-52        L-3       1538       2027        215          1
    R-53        L-4        855       1586        309          3
    R-54        L-3       1111       2477        473          5
    R-55        L-3       1098       2532        487          4
    R-56        L-3        729       1889        382          1
    R-57        L-2       2213       3332        402          5
    R-58        L-4        862       1815        307          4
    R-59        L-4        439       1305        220          4
    R-60        L-2        856       2018        412          3
    R-61        L-2        343       1606        351          4
    R-62        L-1       1704       2708        494          5
    R-63        L-2       1951       3145        293          4
    R-64        L-4        456        895        433          4
    R-65        L-4       1242       1540        229          4
    R-66        L-2       1634       2318        339          5
    R-67        L-5        460       1873        463          1
    R-68        L-2        476       1861        416          3
    R-69        L-5        680       1954        209          2
    R-70        L-3       2377       3389        301          3
    R-71        L-5       1364       2794        420          5
    R-72        L-2       1409       1827        373          5
    R-73        L-1        826       1344        232          3
    R-74        L-1       1226       2674        256          1
    R-75        L-5        338        854        444          3
    R-76        L-4       1314       2378        478          1
    R-77        L-2       1008       1513        236          2
    R-78        L-3       2201       2723        231          1
    R-79        L-5       1781       3169        223          4
    R-80        L-2        387        881        209          1
    R-81        L-5       1649       3110        498          5
    R-82        L-1       1897       3118        204          4
    R-83        L-2       1535       1951        346          2
    R-84        L-2       1458       2008        258          2
    R-85        L-2        654       2111        419          2
    R-86        L-1       2339       3235        474          3
    R-87        L-2        605       1839        499          1
    R-88        L-1       2281       3433        420          2
    R-89        L-1       2251       3328        393          2
    R-90        L-4        804       2063        389          2
    R-91        L-2        853       1902        486          3
    R-92        L-1        357       1451        488          2
    R-93        L-3        825       2210        235          1
    R-94        L-2        346        883        428          3
    R-95        L-3       1630       2885        305          3
    R-96        L-1        578       1980        419          4
    R-97        L-1       2378       3541        393          2
    R-98        L-3        477        762        212          2
    R-99        L-2        633       1806        371          4
   R-100        L-3       1421       2771        265          5
   R-101        L-5       2425       3552        491          4
   R-102        L-3        928       2089        337          2
   R-103        L-5        244       1230        372          1
   R-104        L-1       2188       3351        445          4
   R-105        L-1        523       1225        340          1
   R-106        L-2       1131       2387        386          5
   R-107        L-3        583       1584        468          2
   R-108        L-2       1076       2465        288          4
   R-109        L-3       1516       2620        409          5
   R-110        L-4       1106       1629        418          3
   R-111        L-2        677       1036        233          1
   R-112        L-3        953       2103        259          2
   R-113        L-3       1654       2147        286          3
   R-114        L-4       1407       2787        492          5
   R-115        L-4       1041       2310        489          5
   R-116        L-2       1355       1888        458          1
   R-117        L-1       2072       3360        477          2
   R-118        L-4       2155       3101        206          2
   R-119        L-1       2424       3088        272          3
   R-120        L-4        994       1881        256          5
   R-121        L-4        212       1073        337          5
   R-122        L-4       2169       3347        288          2
   R-123        L-1        674       1771        305          4
   R-124        L-3        694       1400        338          2
   R-125        L-3       1091       1427        322          5
   R-126        L-2       1024       1611        412          4
   R-127        L-5        988       1374        301          2
   R-128        L-2        491        707        210          3
   R-129        L-5        359        878        493          4
   R-130        L-1       1535       2525        495          2
   R-131        L-1       1306       1809        231          1
   R-132        L-1        447        968        299          2
   R-133        L-5        771       1916        244          3
   R-134        L-1       2233       3722        449          1
   R-135        L-3       2468       2769        287          5
   R-136        L-4       2147       3515        200          2
   R-137        L-1       1481       2656        497          3
   R-138        L-5       2334       3681        480          2
   R-139        L-2       2195       2761        387          3
   R-140        L-2       1488       2447        359          4
   R-141        L-1       1185       1515        217          3
   R-142        L-4       1825       2701        492          2
   R-143        L-2        580       1368        462          2
   R-144        L-1       1937       3302        256          4
   R-145        L-1        412       1403        445          4
   R-146        L-1        588       1518        468          3
   R-147        L-1        920       2179        473          5
   R-148        L-3       1261       1963        284          2
   R-149        L-3        771       1568        477          4
   R-150        L-1        848       1298        400          2
   R-151        L-5       2397       3293        419          2
   R-152        L-1       1665       2880        275          5
   R-153        L-2       2477       3308        446          5
   R-154        L-1       2043       3442        477          1
   R-155        L-3       2077       3311        378          1
   R-156        L-3       1137       1829        363          3
   R-157        L-5        996       1928        208          4
   R-158        L-1       1395       2129        324          2
   R-159        L-1        347       1336        225          2
   R-160        L-2        494       1074        485          4
   R-161        L-2       2357       3316        256          3
   R-162        L-3        676       1751        327          2
   R-163        L-3       1211       1954        436          3
