InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-5        662       2045        266          2
     R-2        L-4       1127       2344        267          2
     R-3        L-2       1073       2148        273          2
     R-4        L-4        968       1327        303          2
     R-5        L-3        484       1592        248          2
     R-6        L-5        922       1935        459          2
     R-7        L-1       2038       2714        267          3
     R-8        L-5       1265       2570        240          3
     R-9        L-2        707       1628        494          2
    R-10        L-4       1707       2008        235          4
    R-11        L-3       1730       2784        281          4
    R-12        L-2       2265       3025        289          3
    R-13        L-1        977       2313        474          2
    R-14        L-3       1009       1900        231          4
    R-15        L-4        635       1395        455          5
    R-16        L-4       1043       2330        478          5
    R-17        L-2       1947       3082        281          4
    R-18        L-2       1405       2317        439          1
    R-19        L-5        261       1516        422          3
    R-20        L-5       2001       3339        270          1
    R-21        L-1       2064       3187        387          2
    R-22        L-1       1853       3293        300          5
    R-23        L-5        738       1604        260          5
    R-24        L-2       2031       2580        236          2
    R-25        L-5       2334       3501        244          3
    R-26        L-4       2272       3519        446          4
    R-27        L-5        481       1343        368          3
    R-28        L-1       2329       3795        391          3
    R-29        L-4        584       1582        403          4
    R-30        L-2        758       1823        246          1
    R-31        L-2        744       2085        355          1
    R-32        L-1        834       1816        495          4
    R-33        L-1        268        736        323          4
    R-34        L-4        348       1124        229          3
    R-35        L-2       1536       2665        401          1
    R-36        L-2       1636       2909        494          1
    R-37        L-1       1554       2251        460          3
    R-38        L-2        506       1974        232          5
    R-39        L-4        854       1595        479          4
    R-40        L-2       2233       3071        464          3
    R-41        L-2       1790       2546        499          4
    R-42        L-5        357       1718        340          2
    R-43        L-3       1724       2670        361          5
    R-44        L-4       1722       2490        463          3
    R-45        L-2        343       1159        481          3
    R-46        L-5       1797       2762        284          2
    R-47        L-4       1720       2179        453          1
    R-48        L-5        343       1465        471          1
    R-49        L-5       2216       3089        359          3
    R-50        L-4       1874       2453        339          1
    R-51        L-4       2154       2565        282          3
    R-52        L-4       1556       2517        468          2
    R-53        L-1       2058       3164        334          5
    R-54        L-5       1936       3156        442          5
    R-55        L-1       1341       1858        310          4
    R-56        L-5       1996       2710        301          2
    R-57        L-2       1313       1914        329          1
    R-58        L-2       1440       2803        313          2
    R-59        L-3       2186       3456        398          5
    R-60        L-3       1163       2003        235          4
    R-61        L-1        242       1354        329          4
    R-62        L-2       1336       1754        295          3
    R-63        L-2       2128       2545        317          1
    R-64        L-3        786       1480        265          4
    R-65        L-5       1238       1726        252          2
    R-66        L-1        684       2135        296          3
    R-67        L-3       1906       2227        204          3
    R-68        L-5       2331       3661        333          4
    R-69        L-2       1350       2729        382          3
    R-70        L-1        527       1434        374          1
    R-71        L-4        637       1164        232          5
    R-72        L-3        885       2001        200          2
    R-73        L-2        261       1375        397          3
    R-74        L-3       1793       2880        475          2
    R-75        L-5        629       1644        360          1
    R-76        L-1       2384       2593        209          5
    R-77        L-2       2305       3717        487          4
    R-78        L-1       2375       2948        487          3
    R-79        L-5       2002       3222        393          5
    R-80        L-4       1102       1550        257          1
