InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-5       1387       1663        242          3
     R-2        L-3       1935       3414        394          2
     R-3        L-1        986       2232        336          2
     R-4        L-1       2063       2491        212          4
     R-5        L-4       1925       3184        210          3
     R-6        L-5        435        812        305          3
     R-7        L-5        904       1956        310          3
     R-8        L-4       1352       1887        360          2
     R-9        L-2       2178       2942        429          2
    R-10        L-2       2385       3815        365          5
    R-11        L-4        668       1111        242          1
    R-12        L-5       1328       2108        493          3
    R-13        L-5        646       1625        389          3
    R-14        L-3       2062       2766        481          2
    R-15        L-2        638       1908        261          3
    R-16        L-1       2434       3919        272          4
    R-17        L-1        885       1384        430          4
    R-18        L-2       1811       2354        211          1
    R-19        L-4       1110       2442        229          1
    R-20        L-4       1617       2597        208          2
    R-21        L-4        351       1130        238          5
    R-22        L-2       1005       2045        435          1
    R-23        L-2        623       1648        484          5
    R-24        L-1       2485       3325        322          4
    R-25        L-3        875       1991        206          4
    R-26        L-2        876       1429        411          5
    R-27        L-3       1409       2664        417          5
    R-28        L-1       2452       3261        226          1
    R-29        L-2        770       2021        370          2
    R-30        L-1        521       2002        372          2
    R-31        L-3       2497       3858        441          1
    R-32        L-2       1585       2026        393          4
    R-33        L-4       1033       1602        215          4
    R-34        L-4        535       1517        415          5
    R-35        L-5       2408       3073        484          5
    R-36        L-2       1419       1930        335          1
    R-37        L-4       2239       2668        393          5
    R-38        L-4       1886       2889        349          3
    R-39        L-2       1437       2475        340          4
    R-40        L-5        375       1767        414          3
    R-41        L-4       2406       2930        342          2
    R-42        L-3       1280       2583        274          1
    R-43        L-5       2095       2924        261          4
    R-44        L-1        231        979        218          2
    R-45        L-1       2123       3177        221          3
    R-46        L-5       1020       1705        385          1
    R-47        L-5        938       2208        460          3
    R-48        L-2       1400       2879        240          1
    R-49        L-2        692       1024        293          5
    R-50        L-3        769       2079        350          5
