InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-2       1128       2285        389          2
     R-2        L-2        379        902        243          5
     R-3        L-4       1057       1524        405          4
     R-4        L-5       2056       3468        399          2
     R-5        L-2       1849       3087        245          1
     R-6        L-4       1292       2592        466          4
     R-7        L-1        665       1195        332          4
     R-8        L-3       1745       2118        255          2
     R-9        L-5        552       1431        454          2
    R-10        L-4        463       1015        476          2
    R-11        L-5        807       1770        496          4
    R-12        L-4       1370       2220        485          2
    R-13        L-3        848       2186        249          3
    R-14        L-3       2226       3087        457          2
    R-15        L-5       1657       2709        470          1
    R-16        L-3       2278       2982        479          2
    R-17        L-2        248       1301        351          3
    R-18        L-4        337       1274        416          3
    R-19        L-1       1907       3007        289          2
    R-20        L-3        304        936        303          1
    R-21        L-2        254       1348        394          5
    R-22        L-4       1984       2586        318          5
    R-23        L-1       2027       3290        408          5
    R-24        L-1        486       1027        347          1
    R-25        L-2        636       1839        466          5
    R-26        L-2       2199       2603        276          1
    R-27        L-5        775       1940        374          1
    R-28        L-3       1426       2471        379          1
    R-29        L-5       2243       2674        307          1
    R-30        L-4        904       1886        291          4
    R-31        L-5        695       1347        242          2
    R-32        L-4       2236       2994        442          1
    R-33        L-4        644       1879        497          2
    R-34        L-4       2000       2648        463          5
    R-35        L-2       1812       3128        384          1
    R-36        L-1       1008       2146        225          1
    R-37        L-5       1065       2497        202          1
    R-38        L-5       1691       2303        421          5
    R-39        L-3       1021       1946        456          5
    R-40        L-1       1773       2640        466          3
    R-41        L-4       1414       2311        240          2
    R-42        L-4       1414       2774        240          3
    R-43        L-3       1514       2596        464          3
    R-44        L-3        647       1940        300          4
    R-45        L-4       1477       2376        305          5
    R-46        L-5       1770       2966        468          5
    R-47        L-4       1683       2502        418          5
    R-48        L-2       2277       3068        241          1
    R-49        L-1       2240       3437        338          5
    R-50        L-5       1322       2232        349          3
