InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-3       1777       2274        415          5
     R-2        L-4       2190       3218        407          3
     R-3        L-3       1094       1837        458          2
     R-4        L-5        588       2006        328          2
     R-5        L-3       1470       1871        250          4
     R-6        L-4       2492       3467        251          3
     R-7        L-4       1037       2007        482          5
     R-8        L-1       1266       2620        231          1
     R-9        L-4       1833       3286        200          3
    R-10        L-2       1199       1693        366          5
    R-11        L-5       1108       1721        322          4
    R-12        L-5        573       1469        241          4
    R-13        L-3        646       2128        354          1
    R-14        L-2       2442       3918        370          5
    R-15        L-4       2441       3235        500          1
    R-16        L-3       1776       2633        362          2
    R-17        L-5        975       1337        295          3
    R-18        L-2       2151       2569        235          2
    R-19        L-4        358       1706        241          5
    R-20        L-2       1328       2277        467          5
    R-21        L-4       1917       2694        496          4
    R-22        L-5       1663       2569        242          1
    R-23        L-3       2192       3337        500          2
    R-24        L-1       1195       1958        208          2
    R-25        L-4       1723       2691        287          1
    R-26        L-1        612       1334        274          5
    R-27        L-1       2388       2679        237          2
    R-28        L-3        690       1277        400          1
    R-29        L-2        349        958        211          1
    R-30        L-1       2162       2594        307          5
    R-31        L-1       1943       2726        251          2
    R-32        L-4        494       1565        354          2
    R-33        L-1        450       1863        457          5
    R-34        L-3        613       1421        400          3
    R-35        L-2       2126       2790        491          1
    R-36        L-5        848       1831        282          3
    R-37        L-1        680       1464        426          4
    R-38        L-5       1878       3264        491          3
    R-39        L-2       1662       2573        398          5
    R-40        L-3        250        845        434          1
    R-41        L-2       2429       3048        343          4
    R-42        L-5       1642       2724        347          5
    R-43        L-4        742       1894        358          1
    R-44        L-2        206       1188        298          2
    R-45        L-5       1113       2317        429          4
    R-46        L-1        329       1590        405          2
    R-47        L-2       2024       2786        232          4
    R-48        L-1       2360       2809        449          4
    R-49        L-1       1535       2850        359          4
    R-50        L-1        970       2436        480          2
    R-51        L-3        260       1520        405          1
    R-52        L-5       1074       1285        207          5
    R-53        L-5        600       1140        297          2
    R-54        L-1       1438       2154        343          4
    R-55        L-3       1824       2109        241          4
    R-56        L-5        674       1278        331          3
    R-57        L-1        671       1520        279          1
    R-58        L-5        366       1202        305          3
    R-59        L-1       1702       3123        490          5
    R-60        L-3       2225       3550        434          5
    R-61        L-5        930       2005        306          3
    R-62        L-3        236        815        270          3
    R-63        L-3       1582       2161        388          5
    R-64        L-2        346       1119        221          2
    R-65        L-5       1385       2577        384          2
    R-66        L-2       1401       2638        258          1
    R-67        L-1       1461       2823        291          3
    R-68        L-4       1851       2831        368          1
    R-69        L-4        607       2024        487          4
    R-70        L-4       1580       2209        375          1
    R-71        L-3       2238       2733        418          3
    R-72        L-4        837       2278        285          1
    R-73        L-2        469       1117        243          1
    R-74        L-4       1776       2180        204          5
    R-75        L-4       2325       3591        348          5
    R-76        L-3       1089       1676        416          2
    R-77        L-2       1268       2562        499          4
    R-78        L-1        986       1604        383          1
    R-79        L-1       2353       3197        431          4
    R-80        L-1       1830       2585        331          2
    R-81        L-4        799       1457        253          4
    R-82        L-2       1681       3006        479          1
    R-83        L-4       2198       3627        275          4
    R-84        L-4       2334       3447        453          4
    R-85        L-1       1027       1952        477          3
    R-86        L-5       1503       1939        364          2
    R-87        L-5       1252       2307        279          3
    R-88        L-5       2126       2532        233          1
    R-89        L-1        471       1053        315          3
    R-90        L-2        262       1368        429          2
    R-91        L-4       2087       3511        390          5
    R-92        L-1       2257       3649        217          5
    R-93        L-3        512       1352        418          5
    R-94        L-5       1911       3152        446          5
    R-95        L-2       1156       1366        210          3
    R-96        L-3       2276       3027        491          1
    R-97        L-4       2221       3175        334          4
    R-98        L-2       1771       2337        231          2
    R-99        L-1       1375       1859        371          4
   R-100        L-5       1911       3190        272          1
   R-101        L-1        820       2042        380          5
   R-102        L-1       2109       3445        397          1
   R-103        L-1       2128       2446        277          5
   R-104        L-5        743       1323        365          3
   R-105        L-1        998       2398        396          1
   R-106        L-5       2113       2739        372          3
   R-107        L-1        720       1719        398          5
   R-108        L-4        974       1995        219          3
   R-109        L-1        980       2143        433          1
   R-110        L-1        363       1334        448          5
   R-111        L-5       1084       1592        317          5
   R-112        L-1       1920       3004        459          2
   R-113        L-1       1944       2865        489          1
   R-114        L-4       1902       2337        232          2
   R-115        L-4        325       1635        428          1
   R-116        L-1       2234       3117        366          3
   R-117        L-1        488       1485        262          3
   R-118        L-2       1624       1935        291          3
   R-119        L-1        488       1186        273          2
   R-120        L-3        704       1507        203          1
   R-121        L-4       1153       1807        272          1
   R-122        L-2       2152       3056        376          1
   R-123        L-4       1052       2123        385          3
   R-124        L-3       1413       2547        483          2
   R-125        L-5        530       1874        252          3
   R-126        L-2        840       1532        392          2
   R-127        L-2       1493       2450        460          2
   R-128        L-1       1392       2641        390          2
   R-129        L-1        284        844        401          2
   R-130        L-4       1921       3401        353          2
   R-131        L-1       1929       3007        352          2
   R-132        L-1       2021       3493        389          4
   R-133        L-3       1873       2931        204          4
   R-134        L-4       1035       2025        390          1
   R-135        L-1        959       1781        255          5
   R-136        L-2        830       2074        428          4
   R-137        L-4       1968       2764        289          3
   R-138        L-4       2343       3342        272          1
   R-139        L-1       2179       3086        304          4
   R-140        L-3       2092       2742        203          1
   R-141        L-2       1433       2535        479          4
   R-142        L-2       2130       3396        247          5
   R-143        L-1       1860       2247        343          3
   R-144        L-4        366       1091        200          5
   R-145        L-3       1822       2457        427          3
   R-146        L-1       1360       1834        300          1
   R-147        L-3       1275       2723        356          1
   R-148        L-1       2371       3032        327          4
   R-149        L-2       1386       2794        344          5
   R-150        L-1       2342       3737        307          4
   R-151        L-3       2426       3402        406          4
   R-152        L-2       1722       2855        490          2
   R-153        L-4        705       1747        261          5
   R-154        L-3       2116       3533        271          3
   R-155        L-4       2136       2994        412          4
   R-156        L-1       2254       3625        362          4
   R-157        L-1       1429       2716        273          5
   R-158        L-4       1083       2023        213          4
   R-159        L-1        241        846        469          4
   R-160        L-1        226        694        384          5
   R-161        L-2        215       1152        338          2
   R-162        L-4       1379       1891        297          4
   R-163        L-3       1552       2292        396          4
   R-164        L-2       1982       3173        275          5
   R-165        L-2       1494       2187        266          4
   R-166        L-4       1630       2904        399          4
   R-167        L-2       1101       2300        300          5
   R-168        L-2        403        869        398          1
   R-169        L-2        964       1466        386          2
   R-170        L-3       1418       2710        244          3
   R-171        L-5       1885       2429        434          5
   R-172        L-4       1963       2925        497          3
   R-173        L-3       2148       3148        310          1
   R-174        L-3        379        938        226          1
   R-175        L-1       1387       1877        203          4
   R-176        L-4       1109       1964        403          2
   R-177        L-1       1590       3083        252          3
   R-178        L-3       1522       2929        474          3
   R-179        L-2        318        875        467          3
   R-180        L-3        528       1909        307          2
   R-181        L-3       1025       1970        328          5
   R-182        L-3       1775       3092        330          2
   R-183        L-1        382       1868        356          1
   R-184        L-1       2087       3437        453          4
   R-185        L-1       2221       3557        435          1
   R-186        L-2        533       1058        323          4
   R-187        L-4       1074       1656        425          5
   R-188        L-2       1815       2404        220          4
   R-189        L-3       1101       1937        265          3
   R-190        L-3       1981       3375        254          5
   R-191        L-4       2416       3326        303          5
   R-192        L-3       2092       3100        474          2
   R-193        L-2        267        729        260          4
   R-194        L-1       1218       2111        311          5
   R-195        L-1       2310       2830        419          4
   R-196        L-3       1316       2732        260          2
   R-197        L-2       2439       3236        344          1
   R-198        L-2       2322       3349        357          3
   R-199        L-2       2167       2863        346          1
   R-200        L-3       2465       3594        458          5
   R-201        L-2        303       1379        266          2
   R-202        L-2       2290       2806        239          4
   R-203        L-2       1074       1664        320          4
   R-204        L-1       1647       2934        267          5
   R-205        L-4        306       1509        469          4
   R-206        L-5       1464       2120        206          2
   R-207        L-1       2226       3314        446          3
   R-208        L-3        762       1558        405          3
   R-209        L-1       1773       2430        230          3
   R-210        L-2       1222       2500        375          3
   R-211        L-1       1609       2516        283          3
   R-212        L-3       2409       2947        229          1
   R-213        L-2       2211       2492        231          1
   R-214        L-1        250       1234        315          1
   R-215        L-2       1612       2306        416          4
   R-216        L-3       1982       2987        272          2
   R-217        L-1       1546       2738        409          4
   R-218        L-1       1280       2700        473          5
   R-219        L-2        702       1910        409          1
   R-220        L-2       2250       3572        270          1
   R-221        L-2       1551       2233        321          1
   R-222        L-1        891       1550        487          4
   R-223        L-5        624       1365        434          5
   R-224        L-4        364       1389        329          1
   R-225        L-3        348        985        454          3
   R-226        L-5        817       1734        434          3
   R-227        L-3        864       1962        407          4
   R-228        L-5       1808       2651        207          3
   R-229        L-5       2454       2965        440          5
   R-230        L-4       2461       2873        334          4
   R-231        L-4        691       1806        406          1
   R-232        L-3        284        693        339          5
   R-233        L-5       1386       2775        306          3
   R-234        L-1       1781       2536        328          5
