InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-3       2143       3563        337          2
     R-2        L-4       1763       2735        205          3
     R-3        L-1       2085       3544        316          5
     R-4        L-2        795       1972        425          3
     R-5        L-2       1061       2471        230          1
     R-6        L-1       2303       3503        372          1
     R-7        L-1        448       1365        460          4
     R-8        L-2       2017       3140        257          5
     R-9        L-1       1480       2132        485          5
    R-10        L-4        901       1531        459          5
    R-11        L-5       1915       3331        440          4
    R-12        L-2       2416       2800        215          3
    R-13        L-3       1659       2833        385          1
    R-14        L-3       1233       2239        320          3
    R-15        L-5       2294       3616        493          2
    R-16        L-1        315       1590        395          5
    R-17        L-1        305       1492        313          4
    R-18        L-2       1037       2415        252          2
    R-19        L-4        519        934        340          3
    R-20        L-5       2241       2723        376          4
    R-21        L-3       1708       2709        306          4
    R-22        L-2       2150       3087        446          4
    R-23        L-2       2448       3206        386          2
    R-24        L-2        227       1263        337          2
    R-25        L-2        235        772        456          5
    R-26        L-2        675       2090        384          1
    R-27        L-2       1520       2104        343          5
    R-28        L-3       2257       3704        444          3
    R-29        L-3       2022       3224        283          5
    R-30        L-5        388       1405        342          4
    R-31        L-3       1076       2487        345          1
    R-32        L-5        215        697        213          3
    R-33        L-2       1921       2685        270          4
    R-34        L-5       2132       3508        230          5
    R-35        L-4       1256       2331        220          5
    R-36        L-5        580       1394        407          5
    R-37        L-5       1623       2799        388          2
    R-38        L-1        270        612        279          1
    R-39        L-4       1901       2783        473          1
    R-40        L-3       1646       2581        296          5
    R-41        L-5       2214       2911        263          5
    R-42        L-1       1814       2562        497          4
    R-43        L-3       1657       2190        365          2
    R-44        L-2        570       1565        359          4
    R-45        L-2       1697       2047        290          4
    R-46        L-1       2017       2832        448          5
    R-47        L-3       1597       2518        433          1
    R-48        L-3       1118       2058        203          3
    R-49        L-2       1024       2051        421          5
    R-50        L-2        800       1936        456          5
    R-51        L-2       2103       3527        399          4
    R-52        L-4       2082       2772        225          5
    R-53        L-1       1819       3185        466          1
    R-54        L-3       2468       3657        492          3
    R-55        L-3        269       1656        364          3
    R-56        L-2        897       2143        269          5
    R-57        L-1        750       2090        328          4
    R-58        L-5       1694       2876        346          3
    R-59        L-2       1793       2460        364          3
    R-60        L-4        333       1570        393          5
    R-61        L-4       1278       2484        373          4
    R-62        L-2       1775       2553        404          2
    R-63        L-5       1243       2047        256          1
    R-64        L-3       1669       2306        356          2
    R-65        L-1        300       1099        484          1
    R-66        L-2        900       1534        300          3
    R-67        L-5        978       1910        294          1
    R-68        L-5        619       2025        386          2
    R-69        L-1       2036       3366        250          2
    R-70        L-3       1808       3262        458          4
    R-71        L-5       1657       2904        398          1
    R-72        L-4       1340       1867        210          3
    R-73        L-5        622       1871        418          3
    R-74        L-1        494       1473        266          2
    R-75        L-1        642       1230        416          1
    R-76        L-5       1222       1668        215          5
    R-77        L-2        314       1603        316          4
    R-78        L-2       1579       2642        416          4
    R-79        L-3        557       1049        372          2
    R-80        L-5       1421       2677        262          2
    R-81        L-2       1337       1947        206          1
    R-82        L-4       2176       3295        423          3
    R-83        L-3       1591       2979        395          2
    R-84        L-2       2395       2911        385          3
    R-85        L-2       1778       3269        336          5
    R-86        L-3       2003       2861        342          4
    R-87        L-4        619       2081        261          2
    R-88        L-5       1685       2324        480          5
    R-89        L-3       1331       2411        393          3
    R-90        L-5       1653       3051        369          4
    R-91        L-2        491       1597        288          3
    R-92        L-3       1703       2372        379          3
    R-93        L-5       1561       2051        403          3
    R-94        L-1       2401       3714        237          3
    R-95        L-3        870       1503        448          2
    R-96        L-1       1995       2890        317          2
    R-97        L-1        968       1829        300          2
    R-98        L-4        949       2029        445          2
    R-99        L-4       2180       3483        400          4
   R-100        L-2       1672       2413        339          5
   R-101        L-5       2354       3829        448          3
   R-102        L-2       1655       2686        404          1
   R-103        L-3        504       1652        349          4
   R-104        L-5        820       2147        466          3
   R-105        L-4        934       2131        332          1
   R-106        L-1        782       1934        225          5
   R-107        L-2       1458       2107        325          1
   R-108        L-4       2459       3901        394          3
   R-109        L-2        581       1178        298          4
   R-110        L-3       2365       3778        331          2
   R-111        L-1        715       2150        306          2
   R-112        L-5       1267       2577        217          4
