InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-2       1768       2452        498          2
     R-2        L-2        995       1468        286          3
     R-3        L-1        252       1634        425          1
     R-4        L-4       2317       3609        286          3
     R-5        L-5       2247       3010        243          2
     R-6        L-5       1538       2046        356          3
     R-7        L-3        336       1292        309          1
     R-8        L-5       1472       2224        249          2
     R-9        L-5       2205       3095        345          3
    R-10        L-4       1011       2438        247          2
    R-11        L-2        786       2134        366          5
    R-12        L-3        738       2216        443          5
    R-13        L-1       1124       2092        472          2
    R-14        L-2       1268       2738        360          4
    R-15        L-1       1046       2228        356          4
    R-16        L-2       1684       2563        366          5
    R-17        L-3       1980       2863        374          1
    R-18        L-4        436       1506        430          4
    R-19        L-3        567        952        219          4
    R-20        L-5       1741       3234        475          5
    R-21        L-3       1877       2731        402          3
    R-22        L-3       1723       2371        350          1
    R-23        L-1        270       1716        334          4
    R-24        L-3       1839       2836        401          4
    R-25        L-1       1764       2806        390          4
    R-26        L-1        279       1672        446          2
    R-27        L-5       1148       2496        264          2
    R-28        L-1       2025       2652        268          1
    R-29        L-1        536       1242        226          5
    R-30        L-3       2202       2802        225          3
    R-31        L-2        625       1145        293          5
    R-32        L-5        522       2005        467          3
    R-33        L-4       1242       2617        432          4
    R-34        L-2        833       1372        374          5
    R-35        L-4        828       1389        292          3
    R-36        L-2       1355       1949        318          1
    R-37        L-4       1458       2332        321          1
    R-38        L-5        969       2049        309          5
    R-39        L-4       2147       2996        500          2
    R-40        L-2        389       1022        288          2
    R-41        L-3        251       1135        319          4
    R-42        L-2       1176       2084        368          3
    R-43        L-1       2142       2913        482          2
    R-44        L-2       1610       2401        491          3
    R-45        L-3       1135       2399        460          1
    R-46        L-4        549       1841        383          3
    R-47        L-2       2037       3325        441          1
    R-48        L-1        644       1989        283          3
    R-49        L-3       2416       3845        235          2
    R-50        L-1       1075       1746        382          5
