InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-3        942       2123        262          2
     R-2        L-2       1010       2471        450          4
     R-3        L-2       1410       2385        434          3
     R-4        L-2        683       2118        366          2
     R-5        L-3        892       1623        321          5
     R-6        L-2       2279       3593        303          3
     R-7        L-4       1285       2189        203          2
     R-8        L-5       1862       3045        475          5
     R-9        L-5       2357       3248        339          3
    R-10        L-4       2460       3294        258          5
    R-11        L-2       2251       3540        274          2
    R-12        L-4       1047       1739        423          5
    R-13        L-2       2167       2763        493          5
    R-14        L-5       1262       2430        473          4
    R-15        L-4        563       1316        451          2
    R-16        L-1       2204       2955        240          5
    R-17        L-5       1643       2752        304          5
    R-18        L-1       2357       2832        203          4
    R-19        L-4       1839       2617        407          4
    R-20        L-3        729       1879        338          2
    R-21        L-2       1574       2564        373          4
    R-22        L-4       2416       3795        209          2
    R-23        L-5        866       1295        418          5
    R-24        L-1       2488       3129        434          5
    R-25        L-4       1254       2497        416          5
    R-26        L-2       2487       3778        441          2
    R-27        L-3        905       1949        290          4
    R-28        L-5        439       1407        247          2
    R-29        L-3       2345       3054        277          1
    R-30        L-2        868       2076        493          2
    R-31        L-3       1429       2885        254          1
    R-32        L-5       1664       2213        368          3
    R-33        L-4       1623       2722        287          5
    R-34        L-3       1876       2365        467          4
    R-35        L-4        387       1138        489          3
    R-36        L-2        567       1458        310          3
    R-37        L-1        758       1365        424          3
    R-38        L-4       1265       2544        485          5
    R-39        L-4        560       1027        312          3
    R-40        L-3        864       1562        247          5
    R-41        L-4       2211       3461        471          3
    R-42        L-2       2065       3317        210          2
    R-43        L-3        271       1326        242          1
    R-44        L-2        252       1032        343          5
    R-45        L-2        773       1170        360          2
    R-46        L-5       2028       2404        341          4
    R-47        L-4       2296       3130        285          2
    R-48        L-4       2245       3132        324          1
    R-49        L-1       2355       3771        379          5
    R-50        L-5       2060       2996        349          1
    R-51        L-1        978       1886        466          2
    R-52        L-4       1417       2122        320          1
    R-53        L-4       2458       2807        290          5
    R-54        L-4       1220       1826        435          4
    R-55        L-3       1054       2260        296          3
    R-56        L-2       1974       2598        352          4
    R-57        L-3       1549       2583        483          3
    R-58        L-5       1078       1425        218          2
    R-59        L-4       1802       2220        234          3
    R-60        L-1       1630       2915        308          1
    R-61        L-3       1674       2648        277          1
    R-62        L-1       1965       2752        379          3
    R-63        L-5       1058       1751        320          2
    R-64        L-5       1613       1958        303          1
    R-65        L-3        714       2031        487          2
    R-66        L-3        425       1078        323          3
    R-67        L-5       2464       3486        364          5
    R-68        L-3       1560       2474        332          2
    R-69        L-4       2133       3376        388          3
    R-70        L-4       2389       3209        259          2
    R-71        L-2       1047       2237        451          4
    R-72        L-2       1357       2631        297          3
    R-73        L-3       1457       2558        396          4
    R-74        L-5       1465       2365        298          1
    R-75        L-1       1794       2916        317          5
    R-76        L-4        640       1134        382          4
    R-77        L-4        483       1631        413          3
    R-78        L-3       2473       3650        302          5
    R-79        L-2       1803       3216        493          5
    R-80        L-5        521        978        314          5
    R-81        L-4       1955       2863        374          3
    R-82        L-5       1481       2707        477          3
    R-83        L-1        952       1648        344          3
    R-84        L-2        283       1364        296          3
    R-85        L-3       2186       3403        255          3
    R-86        L-2        787       1635        240          3
    R-87        L-2       1111       2352        409          1
    R-88        L-3        698       1750        412          3
    R-89        L-5       1045       1437        215          5
    R-90        L-1        864       1166        284          5
    R-91        L-1        742       2227        399          5
    R-92        L-4        752       1641        461          4
    R-93        L-5       1098       1755        373          4
    R-94        L-4       1963       3302        224          2
    R-95        L-5       2226       3524        367          4
    R-96        L-1        433       1028        411          5
    R-97        L-3       1231       1635        280          5
    R-98        L-1        728       1329        373          1
    R-99        L-3        317       1191        256          3
   R-100        L-3       1417       2149        433          4
   R-101        L-2       1384       1753        241          5
   R-102        L-3       1918       2415        235          5
   R-103        L-1       1509       2979        326          1
   R-104        L-4       2291       2953        428          3
   R-105        L-1        516       1839        459          3
   R-106        L-1        955       1826        225          5
   R-107        L-2       1430       2600        307          2
   R-108        L-5        771       2161        442          5
   R-109        L-5       1188       1717        224          3
   R-110        L-2       1686       3055        341          5
   R-111        L-3       1750       2624        429          2
   R-112        L-3       1558       2799        442          4
   R-113        L-2       1219       2436        419          4
   R-114        L-5        294        998        384          2
   R-115        L-4       2234       3306        438          2
   R-116        L-1        676       1044        356          1
   R-117        L-1       2158       3364        325          4
   R-118        L-5       2296       2767        386          3
   R-119        L-3        388       1131        369          2
   R-120        L-5       2449       2958        248          5
