InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-3       2338       3371        412          3
     R-2        L-1        915       1960        476          1
     R-3        L-3       1219       2474        396          5
     R-4        L-5       1500       2186        405          1
     R-5        L-5        772       1381        300          5
     R-6        L-1       1060       2534        369          1
     R-7        L-5       1466       2042        409          4
     R-8        L-3        780       2225        409          1
     R-9        L-3       1972       2467        390          1
    R-10        L-4       2154       2555        391          2
    R-11        L-2        679       1382        485          5
    R-12        L-1       1673       2449        229          3
    R-13        L-5        989       2018        484          2
    R-14        L-3       1224       2293        357          2
    R-15        L-5       1560       2985        248          3
    R-16        L-3       1572       1879        204          1
    R-17        L-1       2113       3422        339          2
    R-18        L-4       1468       1953        332          1
    R-19        L-4       2351       3446        270          5
    R-20        L-3       1803       2496        293          2
    R-21        L-5        652       1062        308          3
    R-22        L-2       1492       1954        361          4
    R-23        L-4        580       1452        359          4
    R-24        L-5        507       1158        477          2
    R-25        L-5       1121       2136        472          2
    R-26        L-5       1409       2630        225          4
    R-27        L-4       2192       3639        313          5
    R-28        L-2       2022       3201        239          2
    R-29        L-3       2178       2926        362          5
    R-30        L-5        316       1392        495          4
    R-31        L-5        419       1133        368          2
    R-32        L-2       1483       2223        388          3
    R-33        L-5       1976       3277        382          1
    R-34        L-1       2324       3649        254          2
    R-35        L-4       2467       3678        291          4
    R-36        L-5       2265       3633        270          4
    R-37        L-3       2054       2862        206          2
    R-38        L-3        233       1362        439          2
    R-39        L-5        412        949        336          1
    R-40        L-3        312       1535        257          5
    R-41        L-4       1035       1338        250          5
    R-42        L-1       1109       2143        215          4
    R-43        L-2        438       1036        476          5
    R-44        L-3       1274       2341        337          5
    R-45        L-5       1906       2328        407          3
    R-46        L-3        531       2030        217          3
    R-47        L-2       1517       2461        260          5
    R-48        L-4       1196       2229        453          1
    R-49        L-4       1244       1721        327          3
    R-50        L-2       1020       2215        447          2
    R-51        L-3       2267       2914        492          1
    R-52        L-5       1985       3204        424          5
    R-53        L-2        831       1463        486          5
    R-54        L-3       2390       3762        362          4
    R-55        L-2        469       1134        320          2
    R-56        L-5       1949       2758        480          4
    R-57        L-2       2255       3111        265          4
    R-58        L-3       1226       2074        457          1
    R-59        L-1        701       2081        371          4
    R-60        L-2        554       1791        463          2
    R-61        L-3        489        989        351          3
    R-62        L-2       2094       2762        364          3
    R-63        L-5       1462       2524        396          5
    R-64        L-3        787       1423        423          2
    R-65        L-3       1087       2511        309          4
    R-66        L-3       1737       2236        338          4
    R-67        L-1       1033       1418        361          5
    R-68        L-4        446       1833        380          4
    R-69        L-2       1262       2536        354          4
    R-70        L-3       1072       1794        296          2
    R-71        L-4       1142       1682        394          2
    R-72        L-5       1654       2366        456          4
    R-73        L-2       2009       2521        244          4
    R-74        L-4       1812       2950        316          4
    R-75        L-4       1570       2561        322          2
    R-76        L-4        910       1385        452          1
    R-77        L-2       1865       2514        446          4
    R-78        L-2        324       1625        335          2
    R-79        L-1        842       1473        331          1
    R-80        L-1       1392       1927        425          3
    R-81        L-4       1264       2373        472          5
    R-82        L-1       1278       1800        488          5
    R-83        L-1       1367       1986        473          3
    R-84        L-2       1406       2771        379          5
    R-85        L-3        640       1623        222          4
    R-86        L-3       2028       3405        368          2
    R-87        L-5        232       1203        258          2
    R-88        L-1       1765       3165        258          1
    R-89        L-2       1804       3004        256          2
    R-90        L-3       2443       2965        426          1
    R-91        L-4        635       1171        249          2
    R-92        L-5       1465       2438        353          3
    R-93        L-1       2463       3566        208          4
    R-94        L-3        212        860        436          5
    R-95        L-4       1524       2076        435          1
    R-96        L-5       2388       3435        439          1
    R-97        L-1        830       1725        236          2
    R-98        L-1       1020       2229        351          1
    R-99        L-5       1760       2990        228          4
   R-100        L-5       1894       2716        334          5
   R-101        L-3       1858       2578        266          2
   R-102        L-2       1500       2585        441          5
   R-103        L-4        605       1995        304          2
   R-104        L-4       2001       3172        423          5
   R-105        L-2        414        964        301          1
   R-106        L-3       1261       2022        226          4
   R-107        L-5       1782       3099        223          5
   R-108        L-5        262       1761        212          3
   R-109        L-5       1516       2537        288          5
   R-110        L-5       1498       2364        322          4
   R-111        L-1       2028       2546        256          2
   R-112        L-4       2059       2831        459          5
   R-113        L-4        229        786        203          4
   R-114        L-2       1833       2656        250          2
   R-115        L-4        776       2227        209          3
   R-116        L-4        814       1709        443          3
   R-117        L-1       1270       2659        428          2
   R-118        L-2        630       1976        326          3
   R-119        L-5        618       2009        332          3
   R-120        L-5       1523       2487        430          4
