InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-3       2338       3371        412          3
     R-2        L-1        915       1960        476          1
     R-3        L-3       1219       2474        396          5
     R-4        L-5       1500       2186        405          1
     R-5        L-5        772       1381        300          5
     R-6        L-1       1060       2534        369          1
     R-7        L-5       1466       2042        409          4
     R-8        L-3        780       2225        409          1
     R-9        L-3       1972       2467        390          1
    R-10        L-4       2154       2555        391          2
    R-11        L-2        679       1382        485          5
    R-12        L-1       1673       2449        229          3
    R-13        L-5        989       2018        484          2
    R-14        L-3       1224       2293        357          2
    R-15        L-5       1560       2985        248          3
    R-16        L-3       1572       1879        204          1
    R-17        L-1       2113       3422        339          2
    R-18        L-4       1468       1953        332          1
    R-19        L-4       2351       3446        270          5
    R-20        L-3       1803       2496        293          2
    R-21        L-5        652       1062        308          3
    R-22        L-2       1492       1954        361          4
    R-23        L-4        580       1452        359          4
    R-24        L-5        507       1158        477          2
    R-25        L-5       1121       2136        472          2
    R-26        L-5       1409       2630        225          4
    R-27        L-4       2192       3639        313          5
    R-28        L-2       2022       3201        239          2
    R-29        L-3       2178       2926        362          5
    R-30        L-5        316       1392        495          4
    R-31        L-5        419       1133        368          2
    R-32        L-2       1483       2223        388          3
    R-33        L-5       1976       3277        382          1
    R-34        L-1       2324       3649        254          2
    R-35        L-4       2467       3678        291          4
    R-36        L-5       2265       3633        270          4
    R-37        L-3       2054       2862        206          2
    R-38        L-3        233       1362        439          2
    R-39        L-5        412        949        336          1
    R-40        L-3        312       1535        257          5
    R-41        L-4       1035       1338        250          5
    R-42        L-1       1109       2143        215          4
    R-43        L-2        438       1036        476          5
    R-44        L-3       1274       2341        337          5
    R-45        L-5       1906       2328        407          3
    R-46        L-3        531       2030        217          3
    R-47        L-2       1517       2461        260          5
    R-48        L-4       1196       2229        453          1
    R-49        L-4       1244       1721        327          3
    R-50        L-2       1020       2215        447          2
    R-51        L-3       2267       2914        492          1
    R-52        L-5       1985       3204        424          5
    R-53        L-2        831       1463        486          5
    R-54        L-3       2390       3762        362          4
    R-55        L-2        469       1134        320          2
    R-56        L-5       1949       2758        480          4
    R-57        L-2       2255       3111        265          4
    R-58        L-3       1226       2074        457          1
    R-59        L-1        701       2081        371          4
    R-60        L-2        554       1791        463          2
    R-61        L-3        489        989        351          3
    R-62        L-2       2094       2762        364          3
    R-63        L-5       1462       2524        396          5
    R-64        L-3        787       1423        423          2
    R-65        L-3       1087       2511        309          4
    R-66        L-3       1737       2236        338          4
    R-67        L-1       1033       1418        361          5
    R-68        L-4        446       1833        380          4
    R-69        L-2       1262       2536        354          4
    R-70        L-3       1072       1794        296          2
    R-71        L-4       1142       1682        394          2
    R-72        L-5       1654       2366        456          4
    R-73        L-2       2009       2521        244          4
    R-74        L-4       1812       2950        316          4
