InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-2       1260       1988        348          2
     R-2        L-1       1122       1683        295          5
     R-3        L-4       1076       1487        350          2
     R-4        L-1        259        900        341          3
     R-5        L-3       2047       2755        423          3
     R-6        L-3       1158       2486        449          4
     R-7        L-5       1485       2453        260          3
     R-8        L-2       2036       3144        483          4
     R-9        L-3       2016       2851        474          2
    R-10        L-3        934       2130        467          3
    R-11        L-4       2081       2988        334          2
    R-12        L-5       2210       2932        481          2
    R-13        L-1        996       1651        387          4
    R-14        L-4       2099       2502        399          1
    R-15        L-4       1121       2412        272          3
    R-16        L-3        854       1779        411          2
    R-17        L-5       1735       2481        466          2
    R-18        L-5       2233       2628        308          5
    R-19        L-2        358       1440        383          3
    R-20        L-1        990       2411        284          2
    R-21        L-5        885       1998        235          5
    R-22        L-3       2425       3544        219          1
    R-23        L-3       2356       2816        201          1
    R-24        L-5       1871       2775        354          5
    R-25        L-1        517       1707        440          1
    R-26        L-4       1509       2197        371          5
    R-27        L-2       2382       3817        464          2
    R-28        L-5       1414       2400        216          2
    R-29        L-2        799       2002        332          3
    R-30        L-2       1940       2988        320          5
    R-31        L-3       1377       2213        419          4
    R-32        L-4        356       1532        362          1
    R-33        L-1        480       1931        223          3
    R-34        L-5        979       2393        430          4
    R-35        L-5       1563       2386        231          4
    R-36        L-1        761       1143        275          3
    R-37        L-3        840       1781        311          5
    R-38        L-3       1790       2206        348          2
    R-39        L-4        608       1997        384          5
    R-40        L-5       1978       2918        222          3
    R-41        L-2        729       1614        225          5
    R-42        L-2        714       1424        202          1
    R-43        L-3       2161       2695        390          3
    R-44        L-2       1075       1786        224          5
    R-45        L-4       2004       3477        299          5
    R-46        L-1        422       1821        480          1
    R-47        L-5        761       1993        473          4
    R-48        L-3       1426       2819        276          3
    R-49        L-1        555       1051        390          2
    R-50        L-3        263       1590        254          1
