InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-2       1768       2452        498          2
     R-2        L-2        995       1468        286          3
     R-3        L-1        252       1634        425          1
     R-4        L-4       2317       3609        286          3
     R-5        L-5       2247       3010        243          2
     R-6        L-5       1538       2046        356          3
     R-7        L-3        336       1292        309          1
     R-8        L-5       1472       2224        249          2
     R-9        L-5       2205       3095        345          3
    R-10        L-4       1011       2438        247          2
    R-11        L-2        786       2134        366          5
    R-12        L-3        738       2216        443          5
    R-13        L-1       1124       2092        472          2
    R-14        L-2       1268       2738        360          4
    R-15        L-1       1046       2228        356          4
    R-16        L-2       1684       2563        366          5
    R-17        L-3       1980       2863        374          1
    R-18        L-4        436       1506        430          4
    R-19        L-3        567        952        219          4
    R-20        L-5       1741       3234        475          5
    R-21        L-3       1877       2731        402          3
    R-22        L-3       1723       2371        350          1
    R-23        L-1        270       1716        334          4
    R-24        L-3       1839       2836        401          4
    R-25        L-1       1764       2806        390          4
    R-26        L-1        279       1672        446          2
    R-27        L-5       1148       2496        264          2
    R-28        L-1       2025       2652        268          1
    R-29        L-1        536       1242        226          5
    R-30        L-3       2202       2802        225          3
    R-31        L-2        625       1145        293          5
    R-32        L-5        522       2005        467          3
    R-33        L-4       1242       2617        432          4
    R-34        L-2        833       1372        374          5
    R-35        L-4        828       1389        292          3
    R-36        L-2       1355       1949        318          1
    R-37        L-4       1458       2332        321          1
    R-38        L-5        969       2049        309          5
    R-39        L-4       2147       2996        500          2
    R-40        L-2        389       1022        288          2
    R-41        L-3        251       1135        319          4
    R-42        L-2       1176       2084        368          3
    R-43        L-1       2142       2913        482          2
    R-44        L-2       1610       2401        491          3
    R-45        L-3       1135       2399        460          1
    R-46        L-4        549       1841        383          3
    R-47        L-2       2037       3325        441          1
    R-48        L-1        644       1989        283          3
    R-49        L-3       2416       3845        235          2
    R-50        L-1       1075       1746        382          5
    R-51        L-5       1074       2055        464          3
    R-52        L-4        842       2247        342          3
    R-53        L-4        871       1507        345          5
    R-54        L-4        266        998        238          1
    R-55        L-4       1212       2666        460          2
    R-56        L-1       2400       3434        317          5
    R-57        L-5        660       1402        375          2
    R-58        L-5       1024       1756        375          4
    R-59        L-4       1144       2447        330          5
    R-60        L-3        453       1637        439          2
    R-61        L-5       2125       2786        325          1
    R-62        L-1       1350       2761        270          5
    R-63        L-4       2362       3332        470          3
    R-64        L-3        985       1272        287          5
    R-65        L-2       2147       2630        222          3
    R-66        L-1       1341       2141        416          2
    R-67        L-4       1978       2740        351          2
    R-68        L-2       1094       2320        337          5
    R-69        L-3       1150       1853        466          1
    R-70        L-5        242       1241        264          4
    R-71        L-3        781       1253        468          2
    R-72        L-2       1882       2947        472          3
    R-73        L-4        500       1010        306          3
    R-74        L-2        801       1365        365          4
    R-75        L-1       1178       2478        282          1
    R-76        L-4        589       1784        341          5
    R-77        L-3       2126       2955        250          5
    R-78        L-2       1977       3174        400          2
    R-79        L-1       1417       2627        248          2
    R-80        L-4        267       1567        495          1
    R-81        L-5       1240       1847        236          3
    R-82        L-1       1834       2885        287          5
    R-83        L-5       1231       2220        261          3
    R-84        L-5       1238       2455        490          3
    R-85        L-2       1573       2993        274          2
    R-86        L-4        791       1969        317          4
    R-87        L-4        631       1575        418          1
    R-88        L-4       1459       2283        403          1
    R-89        L-4       1331       1987        266          3
    R-90        L-2        842       1357        489          2
    R-91        L-1       1498       2084        242          5
    R-92        L-2       2451       3235        318          3
    R-93        L-2       2301       3243        491          4
    R-94        L-5       1185       2233        447          2
    R-95        L-1       2378       2785        406          3
    R-96        L-4        762       1413        265          2
    R-97        L-3       1057       1628        345          3
    R-98        L-1       2132       3114        328          2
    R-99        L-4       1550       2620        230          5
   R-100        L-2       1966       3041        432          5
   R-101        L-4        785       1231        351          1
   R-102        L-1       1808       3073        396          2
   R-103        L-3       1168       1913        213          2
   R-104        L-2        642       1054        279          3
   R-105        L-4        292        758        303          5
   R-106        L-2        546       1697        318          3
   R-107        L-1       1942       3036        341          1
   R-108        L-3        417       1459        276          2
   R-109        L-1       2106       2847        444          3
   R-110        L-2       1279       2168        216          3
   R-111        L-5       1480       2254        438          4
   R-112        L-1       1825       2663        248          1
   R-113        L-2       1265       2460        238          2
   R-114        L-1        581       1181        319          2
   R-115        L-5        284        895        429          5
   R-116        L-2       1721       2256        500          2
   R-117        L-1        660       2150        206          5
   R-118        L-3        228       1259        211          3
   R-119        L-4        654       1366        389          1
   R-120        L-1        638       1824        321          1
