InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-2       2165       3091        341          1
     R-2        L-3        467       1902        330          3
     R-3        L-2       1725       2506        406          2
     R-4        L-1       2211       3620        236          5
     R-5        L-4       1941       2461        413          3
     R-6        L-2        249       1211        444          5
     R-7        L-2       1583       2972        316          1
     R-8        L-5       1805       2235        354          1
     R-9        L-3        897       1642        435          5
    R-10        L-4        408        726        288          2
    R-11        L-4       1618       2699        493          1
    R-12        L-3       1461       2842        424          1
    R-13        L-2       1678       2501        280          4
    R-14        L-5       1663       2252        464          2
    R-15        L-5        896       2203        306          1
    R-16        L-4       1570       2060        373          3
    R-17        L-5        668       1542        354          1
    R-18        L-3       1428       2810        433          5
    R-19        L-3        680       1202        499          2
    R-20        L-1       2156       3194        483          1
    R-21        L-3        435       1213        390          5
    R-22        L-4        597       1964        216          4
    R-23        L-3       2086       2657        201          1
    R-24        L-2        979       2075        316          3
    R-25        L-1       1771       2709        232          2
    R-26        L-2        456       1299        240          2
    R-27        L-2       2093       2746        444          5
    R-28        L-4       1709       2114        343          2
    R-29        L-2       1479       2909        473          4
    R-30        L-2       1445       2792        304          3
    R-31        L-4        437       1008        316          5
    R-32        L-3        524       1736        324          3
    R-33        L-4        378        853        264          1
    R-34        L-5       1733       2376        304          1
    R-35        L-5        967       1497        427          5
    R-36        L-2       2334       2864        427          3
    R-37        L-5       2413       2909        303          5
    R-38        L-3       2437       3612        427          5
    R-39        L-2       1053       1843        400          1
    R-40        L-2       1632       3022        323          3
    R-41        L-1       1756       2888        440          2
    R-42        L-1        501       1782        498          2
    R-43        L-4        392       1033        450          1
    R-44        L-3        749       2101        357          5
    R-45        L-5       2413       3496        395          1
    R-46        L-4       2247       3363        376          3
    R-47        L-5       2197       2946        296          5
    R-48        L-3       2477       3255        322          1
    R-49        L-4       1462       2150        351          4
    R-50        L-1       1291       2242        415          2
    R-51        L-5        648       2062        469          1
    R-52        L-3        432       1354        428          1
    R-53        L-3        653       1431        278          5
    R-54        L-5       1973       2866        332          1
    R-55        L-1        912       2075        228          1
    R-56        L-2       1200       2365        476          1
    R-57        L-5        295        661        316          3
    R-58        L-4       2222       2600        373          1
    R-59        L-3       2387       3362        211          1
    R-60        L-2        708       1306        291          1
    R-61        L-1       2494       3836        346          3
    R-62        L-3        705       1466        452          4
    R-63        L-5       1582       2334        343          3
    R-64        L-5       1260       2398        298          4
    R-65        L-4       2392       2794        269          4
    R-66        L-4       1806       2901        397          4
    R-67        L-2        856       1343        235          4
    R-68        L-4        970       1821        272          5
    R-69        L-3       1795       2530        369          3
    R-70        L-4        583        979        251          2
    R-71        L-5       1915       3193        214          1
    R-72        L-5        242       1056        294          4
    R-73        L-1        287       1634        357          4
    R-74        L-5       2445       3656        408          4
    R-75        L-1       1526       2393        367          3
    R-76        L-4        248        720        429          2
    R-77        L-2       2259       2768        392          5
    R-78        L-5       1923       2448        481          5
    R-79        L-2       1326       1883        296          5
    R-80        L-4       2199       2516        298          5
    R-81        L-1       1994       2839        451          5
    R-82        L-4       1770       2478        281          3
    R-83        L-5       1160       2474        356          5
    R-84        L-4       1910       3132        225          4
    R-85        L-3       1045       1904        248          5
    R-86        L-1        793       1247        226          3
    R-87        L-4       2078       3463        409          2
    R-88        L-1       1881       2787        274          4
    R-89        L-1       1261       2703        423          5
    R-90        L-4        335       1604        483          1
    R-91        L-2       2193       2950        240          2
    R-92        L-4       1348       2722        454          4
    R-93        L-4       1938       2609        476          2
    R-94        L-2       2137       3203        209          5
    R-95        L-4        383       1735        499          5
    R-96        L-3       1542       2832        245          5
    R-97        L-2       1364       2564        451          4
    R-98        L-2        602       1410        380          4
    R-99        L-1        852       2071        233          2
   R-100        L-1        436       1809        369          1
   R-101        L-4       2015       2531        273          4
   R-102        L-4        335       1091        256          3
   R-103        L-4       1770       3205        465          5
   R-104        L-1        215       1491        464          3
   R-105        L-3       1797       2958        207          2
   R-106        L-5       1148       1747        364          4
   R-107        L-1        631       1145        370          4
   R-108        L-2       2097       2925        432          2
   R-109        L-2        468       1532        485          1
   R-110        L-5        761       1636        313          5
   R-111        L-3       2366       3037        276          1
   R-112        L-2        597       1353        233          1
   R-113        L-5        587       1262        295          2
   R-114        L-3       1419       1959        488          1
   R-115        L-5        862       1148        253          2
   R-116        L-1       1128       1930        219          1
   R-117        L-4        404       1367        364          4
   R-118        L-4        789       1980        444          4
   R-119        L-2       1297       2495        406          4
   R-120        L-3        434       1541        204          2
   R-121        L-1        738       2202        294          4
   R-122        L-3        945       1909        233          1
   R-123        L-5       2020       2493        343          4
   R-124        L-4       1053       2545        461          2
   R-125        L-4       2332       3186        358          2
   R-126        L-5       1193       2685        463          2
   R-127        L-5       1129       1897        437          2
   R-128        L-4        691       1624        422          2
   R-129        L-1       1719       2470        450          1
   R-130        L-1        318       1114        484          2
   R-131        L-3       2193       2984        398          5
   R-132        L-3        970       1946        356          1
   R-133        L-5       1813       2591        361          4
   R-134        L-4       2059       2644        249          2
   R-135        L-1       2084       3387        200          2
   R-136        L-4       2174       3625        404          1
   R-137        L-5        221       1637        217          2
   R-138        L-3       1984       2690        498          2
   R-139        L-2       1112       1754        306          1
   R-140        L-3       1116       1415        234          4
   R-141        L-4       2478       3722        261          5
   R-142        L-2       1380       2010        323          1
   R-143        L-5       2341       3586        410          4
   R-144        L-5       1059       1795        483          2
   R-145        L-4       2430       3050        490          2
   R-146        L-3        500       1308        385          4
   R-147        L-1        503       1787        304          4
   R-148        L-1       2347       3416        419          4
   R-149        L-5       2288       3052        421          5
   R-150        L-2       1763       2907        495          2
   R-151        L-2       1192       2079        360          3
   R-152        L-3       2211       2614        283          5
   R-153        L-4        904       2061        466          1
   R-154        L-2       2015       2557        486          4
   R-155        L-4       1461       2649        351          1
   R-156        L-3        547       1323        479          1
   R-157        L-2       1157       2143        231          3
   R-158        L-4        231       1194        497          4
   R-159        L-4        474       1020        216          2
   R-160        L-2       2497       3448        485          5
   R-161        L-5        474       1182        480          1
   R-162        L-4        388       1061        213          2
   R-163        L-2       2362       2717        331          5
   R-164        L-1        682       1126        416          5
   R-165        L-4       1323       2174        317          5
   R-166        L-2       1116       1865        454          2
   R-167        L-4       2160       3108        242          5
   R-168        L-1        224       1703        370          5
   R-169        L-3       1164       1990        393          5
   R-170        L-3       1259       1825        229          2
   R-171        L-2       1067       1609        356          1
   R-172        L-2        464       1158        253          3
   R-173        L-3        260       1007        294          3
   R-174        L-2       2221       3646        492          2
   R-175        L-3        677       1731        251          5
   R-176        L-2       2100       2591        486          1
   R-177        L-5       1564       2992        384          5
   R-178        L-5        714       1080        273          1
   R-179        L-1       2222       2684        320          5
   R-180        L-5        611        999        219          5
   R-181        L-4        691       1668        340          2
   R-182        L-5        952       2122        397          2
   R-183        L-1       1705       2757        489          4
   R-184        L-3       1971       3436        283          3
   R-185        L-5       2015       3234        267          4
   R-186        L-4       1070       2297        324          2
   R-187        L-3       1901       3387        280          4
   R-188        L-4       1663       2418        339          3
   R-189        L-3       2242       3432        237          1
   R-190        L-3       2136       2505        211          3
   R-191        L-2       1720       2717        316          3
   R-192        L-4        426       1795        234          1
   R-193        L-1       1409       1690        274          5
   R-194        L-2        240        926        267          5
