InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-4       2052       3415        486          4
     R-2        L-2       2280       2974        500          5
     R-3        L-4       2148       2635        295          3
     R-4        L-1        780       2129        246          5
     R-5        L-5       1822       2575        431          1
     R-6        L-1       2364       2717        232          2
     R-7        L-3       1190       2355        215          4
     R-8        L-3       1000       1943        465          4
     R-9        L-3        218       1397        243          4
    R-10        L-3       2457       3219        242          2
    R-11        L-1       2300       2707        347          5
    R-12        L-3        642       1267        405          4
    R-13        L-2        473        682        208          2
    R-14        L-4        414       1622        440          4
    R-15        L-2        499       1632        489          3
    R-16        L-3       1579       2460        244          1
    R-17        L-2       1879       2414        260          1
    R-18        L-4        244       1426        230          2
    R-19        L-5       2490       3702        296          2
    R-20        L-1        736       1935        414          4
    R-21        L-3       1923       2231        308          5
    R-22        L-2       1445       2086        210          4
    R-23        L-2        610       1130        221          4
    R-24        L-3       1257       2710        204          3
    R-25        L-1       1781       2170        237          2
    R-26        L-3       1195       2633        207          3
    R-27        L-4       2056       3523        265          5
    R-28        L-2        755       1526        397          3
    R-29        L-2       1135       1850        327          5
    R-30        L-5       1005       2391        398          1
    R-31        L-1       1926       2362        224          1
    R-32        L-4       2298       3116        330          3
    R-33        L-5       1923       2974        451          2
    R-34        L-4        481       1212        264          5
    R-35        L-2        503       1280        343          1
    R-36        L-4        483       1662        337          2
    R-37        L-3        447       1030        223          3
    R-38        L-2       2374       3862        492          1
    R-39        L-3       1683       2875        270          5
    R-40        L-4        774       1027        217          3
    R-41        L-5       1477       1737        217          1
    R-42        L-3       2175       3046        234          2
    R-43        L-5        496       1661        238          3
    R-44        L-3        382       1347        266          1
    R-45        L-1       2138       3231        239          4
    R-46        L-5        259       1430        395          1
    R-47        L-1        495        921        241          3
    R-48        L-5       1904       3068        369          4
    R-49        L-5       2004       2611        436          5
    R-50        L-4        322        859        358          1
    R-51        L-5       1142       2417        257          4
    R-52        L-3       1247       2205        205          2
    R-53        L-3       1029       1841        465          4
    R-54        L-4       2241       3233        323          3
    R-55        L-2       1013       1843        420          4
    R-56        L-3       1099       2539        498          2
    R-57        L-3        757       2041        268          1
    R-58        L-1        462       1149        341          4
    R-59        L-4       2130       2908        340          4
    R-60        L-5       2329       3426        452          4
    R-61        L-3       1512       1814        238          5
    R-62        L-3        369       1437        343          5
    R-63        L-4        278       1376        269          2
    R-64        L-2        301       1123        336          1
    R-65        L-5        672       1323        428          3
    R-66        L-4        519       1228        301          3
    R-67        L-5        931       2103        205          1
    R-68        L-3        933       1805        315          5
    R-69        L-4       2331       3113        456          2
    R-70        L-2        557       1761        410          4
    R-71        L-4       2057       2370        300          5
    R-72        L-3       2258       3582        375          2
    R-73        L-2        605       1304        263          4
    R-74        L-3        559       2016        358          3
    R-75        L-1        264       1675        378          1
    R-76        L-3       2005       3243        375          4
    R-77        L-4        316        758        311          1
    R-78        L-2        908       2066        472          4
    R-79        L-4        808       2173        464          5
    R-80        L-5        552       1764        313          5
    R-81        L-2       1388       2529        487          5
    R-82        L-3       2306       3054        486          4
    R-83        L-5       1052       1696        355          5
    R-84        L-2       1318       2320        493          4
    R-85        L-1       2395       3683        258          5
    R-86        L-1       1744       3060        214          5
    R-87        L-5       1840       3138        478          1
    R-88        L-1       2211       2799        247          5
    R-89        L-3       2079       3317        411          2
    R-90        L-3       2138       2850        452          4
    R-91        L-1       2151       3268        468          2
    R-92        L-2       1918       2665        215          1
    R-93        L-2        345        962        299          1
    R-94        L-2       1363       2454        364          5
    R-95        L-5       2243       3519        253          1
    R-96        L-5       2290       3022        328          4
    R-97        L-5        295       1533        392          5
    R-98        L-5        854       1747        475          2
    R-99        L-5       2369       3790        310          5
   R-100        L-2        758       1788        319          3
   R-101        L-2       1490       2235        299          1
   R-102        L-1        748       1341        322          3
   R-103        L-4       1788       2927        249          5
   R-104        L-1        716       1842        302          1
   R-105        L-3       1023       2212        491          3
   R-106        L-5        672       1833        458          2
   R-107        L-1        488       1151        446          1
   R-108        L-2       2459       3907        463          2
   R-109        L-2        955       1630        258          2
   R-110        L-1       1359       2794        248          2
   R-111        L-3       2092       2529        239          4
   R-112        L-3       2112       3585        418          4
   R-113        L-1       1060       1478        391          2
   R-114        L-3        942       2279        408          3
   R-115        L-1       1860       2497        299          5
   R-116        L-4        263        801        365          5
   R-117        L-3        982       2138        458          3
   R-118        L-2        676       1787        281          3
   R-119        L-2       2407       3680        389          4
   R-120        L-3       1047       1485        294          3
   R-121        L-3       2120       2392        251          5
   R-122        L-3        403       1280        318          3
   R-123        L-5       1084       1863        407          1
   R-124        L-2       1795       3277        463          1
   R-125        L-1       1819       2336        494          5
   R-126        L-4        642       1488        321          4
   R-127        L-4       2267       2892        225          1
   R-128        L-3        603       1448        332          3
   R-129        L-5       2453       3780        476          5
   R-130        L-5        608       1191        427          5
   R-131        L-4        384       1108        397          4
   R-132        L-4        892       1464        453          4
   R-133        L-4       1923       3346        345          5
   R-134        L-3       1479       2952        387          4
   R-135        L-3       1304       2742        487          3
   R-136        L-5        310       1018        207          1
   R-137        L-1        841       2048        409          3
   R-138        L-3       1829       3245        225          1
   R-139        L-3       1116       2513        419          2
   R-140        L-4        386       1054        467          2
   R-141        L-5       1204       1565        258          4
   R-142        L-1       2066       2743        260          3
   R-143        L-3       2363       2896        279          4
   R-144        L-5        772       2117        413          3
   R-145        L-2       1918       3391        386          3
   R-146        L-1        727       2034        322          5
   R-147        L-3       1464       2658        459          3
   R-148        L-2        978       1810        342          2
   R-149        L-1       2256       2636        300          1
   R-150        L-1       1309       2511        332          5
