InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-5       1030       2220        305          5
     R-2        L-1        432       1674        265          5
     R-3        L-2       2259       3425        287          4
     R-4        L-2       1027       1696        214          2
     R-5        L-3       1086       2329        447          2
     R-6        L-5        326       1142        215          5
     R-7        L-1        709       1258        460          4
     R-8        L-4       2498       3511        360          4
     R-9        L-2       1022       1763        228          5
    R-10        L-2       1774       3254        419          1
    R-11        L-5        607       1102        238          5
    R-12        L-2        383       1440        224          3
    R-13        L-1        571       1383        478          4
    R-14        L-5        384       1735        415          1
    R-15        L-2        365        942        380          1
    R-16        L-5        747       1800        341          4
    R-17        L-5       1623       3050        466          4
    R-18        L-5        332        865        222          1
    R-19        L-1       2341       3573        257          5
    R-20        L-4        949       1205        217          1
    R-21        L-1       1396       2150        419          3
    R-22        L-5        891       1277        250          1
    R-23        L-3        284        746        416          4
    R-24        L-4       1517       2734        480          1
    R-25        L-4        612       1291        256          2
    R-26        L-5       1453       2069        319          5
    R-27        L-1       1780       2832        405          5
    R-28        L-1        470        839        279          2
    R-29        L-1       1826       2812        324          2
    R-30        L-4       1351       2607        365          2
    R-31        L-5       2245       2580        322          1
    R-32        L-2        624       1271        211          1
    R-33        L-2        784       2019        484          1
    R-34        L-5       2417       3037        284          1
    R-35        L-5        417       1807        398          1
    R-36        L-2       1908       2914        305          2
    R-37        L-3        442        937        480          3
    R-38        L-4       1908       3279        299          5
    R-39        L-3       2217       3107        366          3
    R-40        L-4       2136       2897        225          1
    R-41        L-5        421       1159        357          3
    R-42        L-3       1151       2626        312          5
    R-43        L-3       1916       3375        214          2
    R-44        L-1       2116       2660        351          5
    R-45        L-5        607        930        200          5
    R-46        L-1        495       1539        268          3
    R-47        L-4        684       1941        447          2
    R-48        L-1       1910       2773        328          4
    R-49        L-2        481       1825        388          3
    R-50        L-5        782       1653        255          2
    R-51        L-1       1639       2926        269          5
    R-52        L-4       2113       3283        255          3
    R-53        L-4       1113       2445        427          2
    R-54        L-1        865       1671        240          5
    R-55        L-2       1153       2401        491          1
    R-56        L-5        634       1475        338          4
    R-57        L-5        686       1697        290          4
    R-58        L-2       2004       3461        416          3
    R-59        L-5       1087       1607        251          4
    R-60        L-4       1420       2006        449          5
    R-61        L-2       2261       3096        216          5
    R-62        L-3       1696       3191        454          5
    R-63        L-1       1652       2822        489          3
    R-64        L-3       1900       2136        213          2
    R-65        L-5       1626       2506        387          2
    R-66        L-5       2300       3730        230          3
    R-67        L-2       1883       2447        484          1
    R-68        L-4       1156       2585        466          2
    R-69        L-1        784       1829        498          4
    R-70        L-3       1809       2248        331          4
    R-71        L-5       1403       2669        452          2
    R-72        L-2        431       1422        431          2
    R-73        L-5        809       1845        277          1
    R-74        L-5       1651       3140        474          1
    R-75        L-3        861       1971        384          4
    R-76        L-4       2184       3116        341          3
    R-77        L-3       1896       2937        455          5
    R-78        L-4       1322       2295        399          4
    R-79        L-3       1657       2127        347          4
    R-80        L-5       1287       2062        293          2
    R-81        L-1       2155       2592        303          5
    R-82        L-4       1696       2372        279          3
    R-83        L-2        440       1413        452          5
    R-84        L-5       1447       2201        418          1
    R-85        L-5       1757       2142        303          1
    R-86        L-3       1600       2360        374          4
    R-87        L-1       1871       2319        349          1
    R-88        L-4       1543       2079        380          5
    R-89        L-5        214        612        336          3
    R-90        L-3        687       1976        331          3
    R-91        L-3       2022       3285        354          3
    R-92        L-3       1281       2187        280          4
    R-93        L-1        238        839        378          3
    R-94        L-4        449        790        246          2
    R-95        L-4       2244       3649        230          1
    R-96        L-5       1871       3236        313          2
    R-97        L-1       2211       3530        350          3
    R-98        L-1        901       1193        246          1
    R-99        L-2       1402       2871        275          5
   R-100        L-2       1582       1966        352          5
   R-101        L-3        923       2229        226          4
   R-102        L-5       2440       3163        314          2
   R-103        L-1       2490       3211        346          5
   R-104        L-5        700       1814        257          1
   R-105        L-2        449       1576        419          3
   R-106        L-5       1395       2401        206          3
   R-107        L-5        799       1950        419          1
   R-108        L-4       1648       2533        228          4
   R-109        L-2       2047       2667        356          1
   R-110        L-2       1277       2464        444          1
   R-111        L-5        720       1086        265          5
   R-112        L-5       2296       3275        232          4
   R-113        L-2       2348       3086        469          5
   R-114        L-5        790       1766        337          1
   R-115        L-4        777       2204        373          2
   R-116        L-3       1557       2220        303          2
   R-117        L-5       1792       3263        443          3
   R-118        L-5        479       1445        404          1
   R-119        L-3        446       1432        206          5
   R-120        L-5        987       1554        477          3
   R-121        L-2        606       1619        428          3
   R-122        L-2        406       1838        222          3
   R-123        L-1        988       2144        450          5
   R-124        L-4       1602       2563        392          1
   R-125        L-5       2006       3425        355          4
   R-126        L-4       1104       2162        356          2
   R-127        L-5        579       1053        465          2
   R-128        L-5       2185       3552        389          2
   R-129        L-1       1352       2128        232          2
   R-130        L-3        305        714        308          4
   R-131        L-5       2031       3259        486          1
   R-132        L-5       1905       3328        447          3
   R-133        L-3       2163       3015        310          4
   R-134        L-5        772       1971        268          2
   R-135        L-2        951       1519        446          2
   R-136        L-2        604       1129        261          4
   R-137        L-3       1881       3352        476          5
   R-138        L-5       1991       3426        321          2
   R-139        L-2       1715       2260        225          5
   R-140        L-5       2099       3420        231          4
   R-141        L-2        941       2191        403          3
   R-142        L-3       1060       2132        404          5
   R-143        L-1       1316       2150        219          4
   R-144        L-2       2478       3383        438          4
   R-145        L-2        389       1233        423          5
   R-146        L-2       1461       2931        270          1
   R-147        L-4       1758       3169        431          3
   R-148        L-4        601       1904        242          5
   R-149        L-4        794       1179        361          5
   R-150        L-2       1774       2663        282          3
