InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-4       1166       1732        355          4
     R-2        L-1        834       1216        246          4
     R-3        L-2       2450       2918        348          5
     R-4        L-2       2398       3348        384          1
     R-5        L-3       1272       1633        309          3
     R-6        L-3        992       1910        284          3
     R-7        L-5        555       1721        372          2
     R-8        L-3        928       2223        326          1
     R-9        L-3       2443       2810        353          5
    R-10        L-4       1476       2335        460          4
    R-11        L-2       1380       2724        420          2
    R-12        L-1       1449       1869        332          1
    R-13        L-5       2095       3500        343          4
    R-14        L-1       1604       2278        274          4
    R-15        L-2       1030       2020        425          3
    R-16        L-3       1985       2755        364          1
    R-17        L-5        452       1337        317          5
    R-18        L-2       1172       2112        262          3
    R-19        L-3       2080       2380        213          1
    R-20        L-3       1370       1774        367          3
    R-21        L-5       1517       2635        278          1
    R-22        L-3       1401       2608        298          2
    R-23        L-3       1224       1944        395          5
    R-24        L-4        238        715        386          2
    R-25        L-5       1695       2674        385          1
    R-26        L-2       1999       3173        306          1
    R-27        L-2        443        787        231          5
    R-28        L-4        812       2150        220          5
    R-29        L-1       1220       1656        364          5
    R-30        L-4       1399       2218        409          2
    R-31        L-4       1190       2454        424          1
    R-32        L-2       1097       2420        415          4
    R-33        L-1       1083       1922        455          1
    R-34        L-5       1241       2066        329          2
    R-35        L-2       1148       2096        413          3
    R-36        L-5        410       1010        361          4
    R-37        L-1        365       1611        453          4
    R-38        L-2       1063       2477        493          3
    R-39        L-4       1413       2499        441          5
    R-40        L-4       1081       2111        337          4
    R-41        L-1        504       1238        343          4
    R-42        L-2        722       1182        337          4
    R-43        L-2       2134       3339        406          1
    R-44        L-5       1065       1371        280          3
    R-45        L-2        674       1856        402          5
    R-46        L-5        418       1052        303          3
    R-47        L-1       2131       3500        469          1
    R-48        L-5        340       1598        257          3
    R-49        L-1        768       1731        221          5
    R-50        L-1        243       1305        352          1
    R-51        L-2       2425       3637        432          3
    R-52        L-4       1791       3106        319          1
    R-53        L-5        516       1523        258          4
    R-54        L-2       1903       2467        427          3
    R-55        L-5       2160       2818        416          2
    R-56        L-2       1722       2366        283          3
    R-57        L-5       2224       3126        373          1
    R-58        L-1        891       1731        202          5
    R-59        L-5        653       2093        449          1
    R-60        L-3       2332       3499        325          3
    R-61        L-1       1138       1433        292          5
    R-62        L-4       1483       2895        478          5
    R-63        L-5       1451       2812        459          5
    R-64        L-3       2010       2698        400          5
    R-65        L-4       1683       2329        374          1
    R-66        L-3        789       1663        290          2
    R-67        L-4       1635       2039        247          2
    R-68        L-2       1550       2609        390          3
    R-69        L-1        294       1577        210          3
    R-70        L-5        603       1257        281          4
    R-71        L-4        514       1125        259          2
    R-72        L-4       1440       2333        407          2
    R-73        L-3       1468       2327        388          5
    R-74        L-5       2369       3619        431          4
    R-75        L-4       1482       2724        345          5
    R-76        L-5        253        957        328          4
    R-77        L-4       2498       3711        386          5
    R-78        L-1        314       1640        279          4
    R-79        L-3       1622       2168        359          4
    R-80        L-2       1109       1688        444          2
    R-81        L-1        482       1106        353          2
    R-82        L-5       1829       3023        497          5
    R-83        L-5       2405       2776        334          2
    R-84        L-1        845       1514        249          3
    R-85        L-1        535       1351        262          3
    R-86        L-2        905       2030        276          1
    R-87        L-5       2493       2884        386          2
    R-88        L-2       2258       2983        410          3
    R-89        L-4       2183       2780        459          2
    R-90        L-4        869       2254        331          5
    R-91        L-2       1440       2517        405          4
    R-92        L-3        453        926        416          1
    R-93        L-2       1445       1898        278          1
    R-94        L-5        262       1053        318          1
    R-95        L-4       2152       3003        472          4
    R-96        L-5       1577       2951        288          2
    R-97        L-3        638       1811        443          4
    R-98        L-5        352       1183        308          5
    R-99        L-1       1459       2597        444          2
   R-100        L-5       1494       1825        253          3
   R-101        L-1       2358       3524        443          2
   R-102        L-1        376       1342        455          2
   R-103        L-3        492       1146        372          1
   R-104        L-1       2278       2739        460          2
   R-105        L-1       1323       1602        209          4
   R-106        L-2        793       1838        309          3
   R-107        L-1       1421       2643        398          2
   R-108        L-5       1888       2470        452          5
   R-109        L-3       1423       2616        486          2
   R-110        L-2       1991       2713        364          1
   R-111        L-3       2160       3148        423          4
   R-112        L-3       1877       2671        364          3
   R-113        L-4       2293       2598        244          3
   R-114        L-1       1376       2283        267          2
   R-115        L-2        577       1404        308          4
   R-116        L-4        667       1057        374          5
   R-117        L-2       1034       1510        285          5
   R-118        L-3        590       1495        258          5
   R-119        L-1        817       1422        238          2
   R-120        L-5       1044       1449        334          3
   R-121        L-2       1544       2262        386          2
   R-122        L-1        402        957        227          3
   R-123        L-2       2222       2883        253          4
   R-124        L-5       2161       3147        479          3
   R-125        L-1       1683       2934        420          1
   R-126        L-2        942       1953        278          3
   R-127        L-5       1175       1959        386          3
   R-128        L-1       1771       3253        386          2
   R-129        L-5        980       1736        378          2
   R-130        L-2        286        740        213          3
   R-131        L-1       1517       3012        477          3
   R-132        L-4       1809       2377        283          5
   R-133        L-1       2099       3206        379          4
   R-134        L-4        758       1247        429          2
   R-135        L-5        670       1644        369          5
   R-136        L-2        422       1648        240          5
   R-137        L-5        450       1235        292          3
   R-138        L-4        280       1274        211          2
   R-139        L-2        766       1261        221          5
   R-140        L-3       1369       2579        319          5
   R-141        L-5       1723       2717        287          5
   R-142        L-5       1612       2630        332          1
   R-143        L-5       2428       3454        277          2
   R-144        L-1       2224       2909        441          5
   R-145        L-5       1003       1577        281          2
   R-146        L-1        410       1594        475          1
