InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-5        662       2045        266          2
     R-2        L-4       1127       2344        267          2
     R-3        L-2       1073       2148        273          2
     R-4        L-4        968       1327        303          2
     R-5        L-3        484       1592        248          2
     R-6        L-5        922       1935        459          2
     R-7        L-1       2038       2714        267          3
     R-8        L-5       1265       2570        240          3
     R-9        L-2        707       1628        494          2
    R-10        L-4       1707       2008        235          4
    R-11        L-3       1730       2784        281          4
    R-12        L-2       2265       3025        289          3
    R-13        L-1        977       2313        474          2
    R-14        L-3       1009       1900        231          4
    R-15        L-4        635       1395        455          5
    R-16        L-4       1043       2330        478          5
    R-17        L-2       1947       3082        281          4
    R-18        L-2       1405       2317        439          1
    R-19        L-5        261       1516        422          3
    R-20        L-5       2001       3339        270          1
    R-21        L-1       2064       3187        387          2
    R-22        L-1       1853       3293        300          5
    R-23        L-5        738       1604        260          5
    R-24        L-2       2031       2580        236          2
    R-25        L-5       2334       3501        244          3
    R-26        L-4       2272       3519        446          4
    R-27        L-5        481       1343        368          3
    R-28        L-1       2329       3795        391          3
    R-29        L-4        584       1582        403          4
    R-30        L-2        758       1823        246          1
    R-31        L-2        744       2085        355          1
    R-32        L-1        834       1816        495          4
    R-33        L-1        268        736        323          4
    R-34        L-4        348       1124        229          3
    R-35        L-2       1536       2665        401          1
    R-36        L-2       1636       2909        494          1
    R-37        L-1       1554       2251        460          3
    R-38        L-2        506       1974        232          5
    R-39        L-4        854       1595        479          4
    R-40        L-2       2233       3071        464          3
    R-41        L-2       1790       2546        499          4
    R-42        L-5        357       1718        340          2
    R-43        L-3       1724       2670        361          5
    R-44        L-4       1722       2490        463          3
    R-45        L-2        343       1159        481          3
    R-46        L-5       1797       2762        284          2
    R-47        L-4       1720       2179        453          1
    R-48        L-5        343       1465        471          1
    R-49        L-5       2216       3089        359          3
    R-50        L-4       1874       2453        339          1
